DISTNAME,CRIME_COUNT,TOTAL_SCHOOLS,id,@id,access,addr:city,addr:country,addr:floor,addr:full,addr:hamlet,addr:housename,addr:housenumber,addr:place,addr:postcode,addr:state,addr:street,addr:suburb,air_conditioning,alt_name,alt_name:kn,amenity,area,bar,bench,bin,branch,brand,brand:wikidata,brand:wikipedia,building,bus,capacity,changing_table,changing_table:fee,check_date,check_date:bench,check_date:opening_hours,check_date:shelter,contact:facebook,contact:instagram,covered,cuisine,delivery,departures_board,description,designation,diet:chicken,diet:fish,diet:healthy,diet:meat,diet:non-vegetarian,diet:ovo_vegetarian,diet:vegan,diet:vegetarian,dinner,drink:beer,email,floor,full_name,happycow:id,highchair,highway,indoor_seating,internet_access,internet_access:fee,kerb,leisure,level,lit,loc_name,local_ref,lunch,microbrewery,name,name:en,name:hi,name:kn,name:ml,name:pa,network,network:wikidata,network:wikipedia,not:network:wikidata,note,official_name,old_name,opening_hours,operator,organic,outdoor_seating,passenger_information_display,payment:cards,payment:cash,payment:credit_cards,payment:debit_cards,payment:mastercard,payment:visa,phone,phone_1,platforms,public_transport,reservation,self_service,service,shelter,shop,smoking,source,sport,start_date,swimming_pool,tactile_paving,takeaway,toilets,toilets:wheelchair,website,website:menu,wheelchair,geometry,Population,Male,Female,SC Population,ST Population
BAGALKOT,0.0,2355.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
BALLARI,0.0,2661.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
BELAGAVI,0.0,2441.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
BELAGAVI CHIKKODI,0.0,3149.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
BENGALURU RURAL,0.0,1522.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
BENGALURU U NORTH,0.0,2455.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
BENGALURU U SOUTH,0.0,3388.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
BIDAR,0.0,2759.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Bangalore,67.0,0.0,node/11500714575,node/11500714575,0,Bangalore,0,0,0,0,0,Doner Club,0,560084.0,0,"Yadava Street, Nehru Road",0,yes,0,0,restaurant,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,turkish;mediterranean;arab,yes,0,0,0,0,0,yes,0,yes,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Doner Club,0,0,0,0,0,0,0,0,0,0,0,0,Mo-Su 13:30-23:30,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.donerclub.in/,0,0,POINT (77.6321133 13.0149527),8443675.0,4391723.0,4051952.0,960327.0,154938.0
Bangalore,1078.0,0.0,node/11500714575,node/11500714575,0,Bangalore,0,0,0,0,0,Doner Club,0,560084.0,0,"Yadava Street, Nehru Road",0,yes,0,0,restaurant,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,turkish;mediterranean;arab,yes,0,0,0,0,0,yes,0,yes,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Doner Club,0,0,0,0,0,0,0,0,0,0,0,0,Mo-Su 13:30-23:30,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.donerclub.in/,0,0,POINT (77.6321133 13.0149527),8443675.0,4391723.0,4051952.0,960327.0,154938.0
